"tahun","indikator","n_total","n_valid","n_dikeluarkan"
2019,"Jumlah ART",23783,23783,0
2020,"Jumlah ART",25091,25091,0
2021,"Jumlah ART",25813,25813,0
2022,"Jumlah ART",25744,25744,0
2023,"Jumlah ART",25890,25890,0
2023,"02_distribusi_art",25890,25890,0
2023,"03_kepemilikan",25890,25890,0
2023,"04_fasilitas_bab",25890,25890,0
2023,"R1701",25890,25791,99
2023,"R1702",25890,25740,150
2023,"R1703",25890,25821,69
2023,"R1704",25890,25814,76
2023,"R1705",25890,25810,80
2023,"R1706",25890,25816,74
2023,"R1707",25890,25820,70
2023,"R1708",25890,25835,55
